number_of_trees,max_depth,min_number_of_values,threshold_percentage,attributes_percentage,mode,Female:Female,Female:Male,Male:Female,Male:Male
200,50,10,0.1,0.75,3,1958,43,102,1898
200,50,10,0.1,0.75,3,1958,43,101,1899
200,50,10,0.1,0.75,3,1958,43,98,1902
200,50,10,0.1,0.75,3,1960,41,101,1899
200,50,10,0.1,0.75,3,1959,42,101,1899
200,50,10,0.2,0.75,3,1957,44,102,1898
200,50,10,0.2,0.75,3,1960,41,98,1902
200,50,10,0.2,0.75,3,1963,38,103,1897
200,50,10,0.2,0.75,3,1955,46,104,1896
200,50,10,0.2,0.75,3,1959,42,105,1895
200,50,10,0.3,0.75,3,1957,44,100,1900
200,50,10,0.3,0.75,3,1957,44,105,1895
200,50,10,0.3,0.75,3,1960,41,98,1902
200,50,10,0.3,0.75,3,1961,40,99,1901
200,50,10,0.3,0.75,3,1959,42,98,1902
200,50,10,0.4,0.75,3,1957,44,98,1902
200,50,10,0.4,0.75,3,1956,45,103,1897
200,50,10,0.4,0.75,3,1961,40,104,1896
200,50,10,0.4,0.75,3,1957,44,99,1901
200,50,10,0.4,0.75,3,1957,44,99,1901
200,50,10,0.5,0.75,3,1955,46,97,1903
200,50,10,0.5,0.75,3,1956,45,100,1900
200,50,10,0.5,0.75,3,1959,42,98,1902
200,50,10,0.5,0.75,3,1952,49,97,1903
200,50,10,0.5,0.75,3,1958,43,98,1902
200,50,10,0.6,0.75,3,1961,40,103,1897
200,50,10,0.6,0.75,3,1959,42,98,1902
200,50,10,0.6,0.75,3,1959,42,98,1902
200,50,10,0.6,0.75,3,1957,44,97,1903
200,50,10,0.6,0.75,3,1946,55,98,1902
200,50,10,0.7,0.75,3,1959,42,100,1900
200,50,10,0.7,0.75,3,1958,43,98,1902
200,50,10,0.7,0.75,3,1960,41,97,1903
200,50,10,0.7,0.75,3,1948,53,92,1908
200,50,10,0.7,0.75,3,1956,45,102,1898
200,50,10,0.8,0.75,3,1951,50,97,1903
200,50,10,0.8,0.75,3,1958,43,100,1900
200,50,10,0.8,0.75,3,1955,46,97,1903
200,50,10,0.8,0.75,3,1957,44,98,1902
200,50,10,0.8,0.75,3,1957,44,98,1902
200,50,10,0.9,0.75,3,1958,43,96,1904
200,50,10,0.9,0.75,3,1958,43,101,1899
200,50,10,0.9,0.75,3,1959,42,98,1902
200,50,10,0.9,0.75,3,1962,39,104,1896
200,50,10,0.9,0.75,3,1955,46,95,1905
200,50,10,1.0,0.75,3,1957,44,98,1902
200,50,10,1.0,0.75,3,1961,40,99,1901
200,50,10,1.0,0.75,3,1961,40,98,1902
200,50,10,1.0,0.75,3,1958,43,107,1893
200,50,10,1.0,0.75,3,1957,44,101,1899
